city,country,pop2024,latitude,longitude
Khartoum,Sudan,1974647,15.5518,32.5324
Omdurman,Sudan,1200000,15.6445,32.4777
Nyala,Sudan,565734,12.0489,24.8807
Port Sudan,Sudan,489725,19.6175,37.2164
Kassala,Sudan,401477,15.451,36.4
El Obeid,Sudan,393311,13.1842,30.2167
Al Qadarif,Sudan,363945,14.0349,35.3834
Kosti,Sudan,345068,13.1629,32.6635
Wad Medani,Sudan,332714,14.4012,33.5199
El Daein,Sudan,264734,11.4619,26.1258
El Fasher,Sudan,252609,13.6279,25.3494
Singa,Sudan,250000,13.1483,33.9312
Ad-Damazin,Sudan,186051,11.7891,34.3592
Geneina,Sudan,162981,13.4526,22.4473
Rabak,Sudan,135281,13.1809,32.74
Sinnar,Sudan,130122,13.5691,33.5672
Al Manaqil,Sudan,128297,14.2459,32.9891
Gereida,Sudan,120000,11.2754,25.1403
An Nuhud,Sudan,108008,12.7,28.4333
Atbara,Sudan,107930,17.7022,33.9864
Ed Damer,Sudan,103941,17.599,33.972
Kadugli,Sudan,87666,11.0111,29.7183
Ad Douiem,Sudan,87068,14.0012,32.3116
Umm Ruwaba,Sudan,55742,12.9061,31.2158
Shendi,Sudan,53568,16.6915,33.4341
Dilling,Sudan,37113,12.05,29.65
As Suki,Sudan,33524,13.3167,33.8833
Ar Ruseris,Sudan,28862,11.8659,34.3869
Al Hasaheisa,Sudan,28735,14.7526,33.2984
Maiurno,Sudan,28727,13.4167,33.6667
Zalingei,Sudan,28687,12.9092,23.4706
Sawakin,Sudan,28570,19.1059,37.3321
Tandalti,Sudan,27275,13.0167,31.8667
Ar Rahad,Sudan,26273,12.7167,30.65
Kinana,Sudan,26233,14.0361,33.1712
Al Hawatah,Sudan,24513,13.4167,34.6333
Berber,Sudan,22395,18.0216,33.983
Tokar,Sudan,22250,18.4254,37.729
Abu Jibeha,Sudan,21790,11.4562,31.2285
Al Mijlad,Sudan,19997,11.0333,27.7333
Doka,Sudan,19821,13.5167,35.7667
Kuraymah,Sudan,19593,18.55,31.85
El Bauga,Sudan,19141,18.262,33.9081
Al Qitena,Sudan,18321,14.8648,32.3668
Al Hilaliyya,Sudan,17345,14.9398,33.234
Barah,Sudan,16969,13.7,30.3667
Abu Zabad,Sudan,15304,12.35,29.25
Ad Dindar,Sudan,15144,13.2,34.1667
Dongola,Sudan,13473,19.1816,30.4769
Talodi,Sudan,13188,10.6325,30.3797
Aroma,Sudan,12708,15.8167,36.1333
Marabba,Sudan,12108,12.35,32.1833
Wagar,Sudan,11950,16.1525,36.2032
Ad Dabbah,Sudan,11626,18.05,30.95
El Matama,Sudan,11366,16.7095,33.3565
Al Fulah,Sudan,11238,11.7329,28.3579
Gebeit,Sudan,11095,21.0667,36.3167
Al Lagowa,Sudan,11024,11.4,29.1333
Umm Kaddadah,Sudan,10979,13.6017,26.6876
Kurmuk,Sudan,10375,10.55,34.2833
Wad Rawah,Sudan,10348,15.1603,33.1397
Merowe,Sudan,10234,18.4704,31.8113
Al Kawa,Sudan,10167,13.7463,32.4996
Kutum,Sudan,9849,14.2,24.6667
Al Kiremit al `Arakiyyin,Sudan,9775,14.3476,32.9437
Jalqani,Sudan,9472,12.4486,34.2186
Al Masallamiyya,Sudan,9373,14.5748,33.3373
Wad az Zaki,Sudan,9271,14.4619,32.2065
Um Jar Al Gharbiyya,Sudan,9038,13.8013,32.4078
Argo,Sudan,7716,19.5167,30.4167
El Fula,Sudan,0,11.712,28.3462
